climb_uuid,name,angle,layout_id,n_holds,holds,difficulty_average,quality_average,ascensionist_count,is_nomatch
167e313e708e42e39796b521ca6eeec7,pogo a gogo,45,1,11,"[(1097, 64, 16, 15), (1137, 112, 32, 15), (1148, 64, 40, 15), (1153, 104, 40, 12), (1201, 80, 64, 12), (1222, 112, 72, 13), (1238, 104, 80, 13), (1303, 80, 112, 13), (1321, 88, 120, 13), (1355, 88, 136, 14), (1532, 76, 76, 15)]",21.0,2.6,5,0
F1DFFDBB7EB94D65AADAA43B7D817836,foot secret,0,1,14,"[(1076, 112, 8, 15), (1079, 88, 8, 15), (1137, 112, 32, 12), (1148, 64, 40, 13), (1186, 96, 56, 13), (1285, 72, 104, 13), (1392, 112, 152, 14), (1480, 108, 28, 15), (1488, 84, 36, 15), (1513, 60, 60, 15), (1514, 76, 60, 15), (1543, 100, 84, 15), (1553, 124, 92, 15), (1588, 108, 124, 13)]",20.8,2.4,5,0
A2A9C461F83645CCA53B91187A853FC8,grip,60,1,11,"[(1117, 88, 24, 15), (1131, 64, 32, 15), (1154, 112, 40, 12), (1157, 136, 40, 15), (1169, 96, 48, 15), (1199, 64, 64, 15), (1201, 80, 64, 13), (1202, 88, 64, 12), (1266, 56, 96, 13), (1321, 88, 120, 13), (1387, 72, 152, 14)]",26.8571,2.71429,7,0
fd307f41ee374d5f91c95b91b6a9480c,Get up,30,1,10,"[(1092, 24, 16, 12), (1096, 56, 16, 15), (1107, 8, 24, 12), (1160, 24, 48, 13), (1162, 40, 48, 13), (1199, 64, 64, 13), (1250, 64, 88, 13), (1302, 72, 112, 13), (1371, 80, 144, 13), (1392, 112, 152, 14)]",18.2,3.0,5,1
3D187DA36E914F2986B261DAA246007F,die Friteuse,35,1,13,"[(1132, 72, 32, 12), (1179, 40, 56, 13), (1230, 40, 80, 13), (1285, 72, 104, 13), (1304, 88, 112, 13), (1374, 104, 144, 13), (1387, 72, 152, 14), (1455, 76, 4, 15), (1467, 36, 20, 15), (1485, 36, 36, 15), (1524, 84, 68, 15), (1553, 124, 92, 15), (1577, 68, 116, 13)]",25.2,3.0,5,0
95c5d86c5acf431dbf3a38c3411b4be2,kilterBattle.pt_116_6c,40,1,17,"[(1096, 56, 16, 15), (1135, 96, 32, 12), (1152, 96, 40, 12), (1203, 96, 64, 13), (1207, 128, 64, 13), (1240, 120, 80, 13), (1246, 32, 88, 15), (1291, 120, 104, 13), (1294, 8, 112, 13), (1304, 88, 112, 14), (1305, 96, 112, 13), (1316, 48, 120, 13), (1334, 56, 128, 13), (1379, 8, 152, 14), (1452, 100, 4, 15), (1482, 140, 28, 15), (1518, 140, 60, 15)]",20.0,3.0,6,0
5AB8DE760CDA46648109B83705234AE8,No.53⚡️Beast of the Board⚡️,45,1,10,"[(1155, 120, 40, 12), (1222, 112, 72, 13), (1238, 104, 80, 13), (1268, 72, 96, 13), (1335, 64, 128, 13), (1388, 80, 152, 14), (1447, 140, 4, 15), (1482, 140, 28, 15), (1526, 116, 68, 15), (1550, 76, 92, 15)]",26.8,2.4,5,0
8506dd4a270f4587bc321e33ad869d1f,kilterBattle.pt_117 6c,40,1,16,"[(1155, 120, 40, 12), (1156, 128, 40, 12), (1224, 128, 72, 13), (1237, 96, 80, 13), (1269, 80, 96, 13), (1270, 88, 96, 13), (1301, 64, 112, 14), (1315, 40, 120, 13), (1329, 16, 128, 13), (1349, 40, 136, 13), (1379, 8, 152, 14), (1449, 124, 4, 15), (1482, 140, 28, 15), (1513, 60, 60, 15), (1529, 28, 76, 15), (1537, 4, 84, 15)]",20.0,2.9,10,0
9763a35a145c44fab141f8a199a59764,No.49 ⚡Beast of the Board⚡,45,1,15,"[(1142, 16, 40, 12), (1152, 96, 40, 15), (1170, 104, 48, 15), (1179, 40, 56, 13), (1189, 120, 56, 15), (1249, 56, 88, 13), (1286, 80, 104, 13), (1290, 112, 104, 13), (1342, 120, 128, 13), (1344, 136, 128, 13), (1375, 112, 144, 13), (1389, 88, 152, 14), (1465, 4, 20, 15), (1517, 124, 60, 15), (1542, 84, 84, 13)]",25.0909,3.0,11,1
2097B1107AE24CA783D087437A9DD903,No.52⚡️Beast of the Board⚡️,45,1,9,"[(1166, 72, 48, 12), (1238, 104, 80, 13), (1290, 112, 104, 13), (1325, 120, 120, 13), (1395, 136, 152, 14), (1480, 108, 28, 15), (1518, 140, 60, 15), (1527, 132, 68, 15), (1536, 140, 76, 15)]",25.6667,2.66667,6,1
