feature,importance_mean,importance_std
avg_consecutive_move_x_angle,0.31586999881878797,0.024057220197995187
hold_density,0.252168587806089,0.025237431956177586
move_dist_x_angle,0.14414260647390603,0.025792861747654893
hold_1302_hand,0.11151421242482776,0.026728638466910263
std_consecutive_move,0.10822942574553762,0.01972913843301475
avg_move_dist,0.10560499471366422,0.012912335632241171
hold_1234_hand,0.02958780316145839,0.007864011129253556
hold_1300_hand,0.026479842724366764,0.007476005053197441
angle,0.018971738734554378,0.005827918258003184
hold_1353_hand,0.018372572575567857,0.005449764521401968
n_holds,0.016709318104817662,0.005411938669480327
hold_1236_hand,0.014441028213758788,0.008446433387427113
max_consecutive_move,0.014085781255878537,0.00536738286301505
hold_1352_hand,0.013959385408482405,0.011988545854948518
hold_1339_hand,0.013890407472401934,0.004744825000211995
hold_1315_hand,0.013581351298482747,0.0036888186816340716
n_holds_total,0.012423966757497528,0.004508850463172548
hold_1257_hand,0.01199464656567537,0.006030494025724932
board_width,0.011902101399405752,0.005248584186920761
hold_1320_hand,0.011135292208132853,0.0065228359872984525
hold_1308_hand,0.009575005538290337,0.01030639450534241
avg_foot_dist,0.009527184410638045,0.01278539135055993
hold_1576_hand,0.009423563187667216,0.0027103634804945017
max_foot_dist,0.008078089798945264,0.004053908496985434
hold_1331_hand,0.007867806498424867,0.008027093942878495
hold_1347_hand,0.007499274808937262,0.00249079693994688
n_foot,0.007154411894917811,0.0022803388634213247
hold_1232_hand,0.005051658537014325,0.002288761671117522
hold_1306_hand,0.00484882856880271,0.004514247079514182
hold_1231_hand,0.004809041305425743,0.0019807544511896615
hold_1461_foot,0.0038186281712630833,0.0018724101259712893
hold_1157_start,0.003650196804056605,0.002814671196986748
hold_1340_hand,0.0036372800887418677,0.0016344411884317376
hold_1318_hand,0.0035488852020862495,0.0016177861043958494
hold_1169_start,0.0034895902032621383,0.0015165641881501016
std_foot_dist,0.002586244651474878,0.001727463796358327
hold_1200_hand,0.002232174980837942,0.0018166900911547018
hold_1283_hand,0.002106739233539523,0.002125318870821247
hold_1246_hand,0.00203616203498167,0.0013919218359094419
hold_1456_foot,0.002022451587776497,0.0016570245765084592
